index	question	sentence	label
3199	@luisfigo is described as serious &?	doesn ' t see blatter as untouchable	not_entailment
3200	what is charles m. blow trying to do?	calm myself down	not_entailment
3201	what is charles m. blow trying to do?	calm himself down	entailment
3202	which rolling stone cover is viewed as "controversial"?	Tsarnaev	not_entailment
3203	which rolling stone cover is viewed as "controversial"?	tsarnaev cover	entailment
3204	where did devastating news come from today	Texas	entailment
3205	where did devastating news come from today		not_entailment
3206	what did the poster wish for those injured?	a full and speedy recovery	entailment
3207	what did the poster wish for those injured?	the poster wished for a speedy recovery	not_entailment
3208	who were goals scored by?	Aston Villa	entailment
3209	who were goals scored by?	# avfc	not_entailment
3210	what is the @epa taking action to restore is agency too?	its core mission	entailment
3211	what is the @epa taking action to restore is agency too?	epa	not_entailment
3212	who are the three people he took selfies with?	US Presidents	entailment
3213	who are the three people he took selfies with?	tim mickelson	not_entailment
3214	what happened after the earthquake in norther japan?	tsunami alert	entailment
3215	what happened after the earthquake in norther japan?	earthquake	not_entailment
3216	what did the person want to bet?	real money	entailment
3217	what did the person want to bet?	i would have bet real money	not_entailment
3218	what are you if you are the roof of your home defending it from invaders?	brave	not_entailment
3219	what are you if you are the roof of your home defending it from invaders?	you are brave	entailment
3220	when will donald trump leave his businesses?	before January 20th	entailment
3221	when will donald trump leave his businesses?		not_entailment
3222	who does kristen bell like to watch tv with?	dogs	not_entailment
3223	who does kristen bell like to watch tv with?	her dogs	entailment
3224	what kind of people were they adopted by?	good folks	entailment
3225	what kind of people were they adopted by?	sumaira	not_entailment
3226	what is happening in sandy springs ok?	Tornado Damage	not_entailment
3227	what is happening in sandy springs ok?	tornado damage in sand springs	entailment
3228	what was sarah holmes afraid of.	ongoing terrorist threat	entailment
3229	what was sarah holmes afraid of.	westgate 6 months	not_entailment
3230	where did james franco speak?	the # Golden Globes	not_entailment
3231	where did james franco speak?	at the golden globes	entailment
3232	who will not make announce a decision	Le Bron James	not_entailment
3233	who will not make announce a decision	lebron james	entailment
3234	who is being accused of rape or violence?	Donald Trump	entailment
3235	who is being accused of rape or violence?	2016	not_entailment
3236	what will amanda do if beyonce and jay-z divorce?	shaving my head bald	not_entailment
3237	what will amanda do if beyonce and jay-z divorce?	i ' m shaving her head	entailment
3238	which ages can attend?	old people	not_entailment
3239	which ages can attend?	any age 21	entailment
3240	what did kanye come here to do?	present my new video	entailment
3241	what did kanye come here to do?	imma talk	not_entailment
3242	what is the first flight to mars?	Orion's	not_entailment
3243	what is the first flight to mars?	orion	entailment
3244	if they can dress like them, who can they dress as?	us	not_entailment
3245	if they can dress like them, who can they dress as?	they can dress like us	entailment
3246	does this person feel like he's being threatened?	an attack	not_entailment
3247	does this person feel like he's being threatened?	this is an attack on orlando	entailment
3248	who backed the issues that matter?	Paddy Power	entailment
3249	who backed the issues that matter?	blatter	not_entailment
3250	what did the tweeter say was potentially more dangerous than nukes?	AI	entailment
3251	what did the tweeter say was potentially more dangerous than nukes?	superintelligence by bostrom	not_entailment
3252	who does oregon top for 16th win?	Stanford	entailment
3253	who does oregon top for 16th win?	1 : 22 : 12 am	not_entailment
3254	if someone is just exciting without labels, what are they considered to be?	queer	entailment
3255	if someone is just exciting without labels, what are they considered to be?	@ coffeeshoprowan	not_entailment
3256	what time was this tweet posted	September 28 , 2017	not_entailment
3257	what time was this tweet posted	7 : 27 pm	entailment
3258	who is marcus keene?	Central Michigan	not_entailment
3259	who is marcus keene?	he is a star athlete	entailment
3260	how many years has lucic been in the league?	7 years	entailment
3261	how many years has lucic been in the league?	ansar khan	not_entailment
3262	what is the boy doing?	thought you said Justin Bieber	not_entailment
3263	what is the boy doing?	texting	entailment
3264	who is a beautiful woman?	Domino	entailment
3265	who is a beautiful woman?	zazie beetz	not_entailment
3266	what day is the ides of marcg?	March 15 , 2016	not_entailment
3267	what day is the ides of marcg?	march 15th	entailment
3268	what device is being talked about?	The Smart Speaker	entailment
3269	what device is being talked about?	sonos	not_entailment
3270	@pattyarquette advocated for what in her speech?	Equal Pay	not_entailment
3271	@pattyarquette advocated for what in her speech?	# equalpay	entailment
3272	what will idf do to the perpetrators?	restore the site	not_entailment
3273	what will idf do to the perpetrators?	# idf will bring perpetrators to justice	entailment
3274	who is zahir's mother waiting to see?	her son	entailment
3275	who is zahir's mother waiting to see?	@ masters _ jamesd	not_entailment
3276	who would obama rather help than democrats?	sick people	entailment
3277	who would obama rather help than democrats?	shorter chuck schumer	not_entailment
3278	what happened to ben ainslie's boat?	had mechanical trouble	entailment
3279	what happened to ben ainslie's boat?	ben ainslie died	not_entailment
3280	which perspective can't you see cars?	the river's	entailment
3281	which perspective can't you see cars?	the river ' s	not_entailment
3282	what did the brypie say everyone needs to do?	calm down	entailment
3283	what did the brypie say everyone needs to do?	everyone calm down	not_entailment
3284	what does john d. sutter have about making it to the bay?	doubts	entailment
3285	what does john d. sutter have about making it to the bay?		not_entailment
3286	what helps white people realize policing isn't fair?	Criming While White	not_entailment
3287	what helps white people realize policing isn't fair?	pointing out # criming while white	entailment
3288	what is the poster eating tomorrow?	veggie	not_entailment
3289	what is the poster eating tomorrow?	veggies	entailment
3290	what does whitney cummings do in solidarity?	scroll past	entailment
3291	what does whitney cummings do in solidarity?	warren	not_entailment
3292	who does lena plan to see at the democratic convention?	Hillary Clinton	entailment
3293	who does lena plan to see at the democratic convention?	dunham to 47246	not_entailment
3294	who is still supporting tavecchio?	clubs	entailment
3295	who is still supporting tavecchio?	# pallotta	not_entailment
3296	what happened after expressing an opinion?	threatened with sexual violence	not_entailment
3297	what happened after expressing an opinion?	threatened	entailment
3298	what is jb retweeting?	the neg	entailment
3299	what is jb retweeting?	23 , 2014	not_entailment
3300	what is the rnc being accused of?	the attack	not_entailment
3301	what is the rnc being accused of?	delete tweets	entailment
3302	how many possible opponents were there?	8	entailment
3303	how many possible opponents were there?	# ucl	not_entailment
3304	who does she miss?	carrie fisher	entailment
3305	who does she miss?	i miss carrie fisher	not_entailment
3306	how many people were evacuated from aleppo?	25,000	entailment
3307	how many people were evacuated from aleppo?	25 , 000	not_entailment
3308	who is plowing up dirt since there is no water?	farmers	entailment
3309	who is plowing up dirt since there is no water?	@ jdsutter	not_entailment
3310	what did jess dweck just read?	Cat Person	entailment
3311	what did jess dweck just read?	i read cat person	not_entailment
3312	why is amber using the block button	for hateful messages	entailment
3313	why is amber using the block button	hateful messages	not_entailment
3314	where can you try it?	The Honda Classic	entailment
3315	where can you try it?	@ jacknicklaus	not_entailment
